image_name,label,image_path
image_3073.jpg,Afritada_Kaldereta,./final_dataset/augmented_images\afritada_kaldereta\image_3073.jpg
image_3061.jpg,Afritada_Kaldereta,./final_dataset/augmented_images\afritada_kaldereta\image_3061.jpg
image_3055.jpg,Afritada_Kaldereta,./final_dataset/augmented_images\afritada_kaldereta\image_3055.jpg
image_3040.jpg,Afritada_Kaldereta,./final_dataset/augmented_images\afritada_kaldereta\image_3040.jpg
image_3009.jpg,Afritada_Kaldereta,./final_dataset/augmented_images\afritada_kaldereta\image_3009.jpg
image_3064.jpg,Afritada_Kaldereta,./final_dataset/augmented_images\afritada_kaldereta\image_3064.jpg
image_3005.jpg,Afritada_Kaldereta,./final_dataset/augmented_images\afritada_kaldereta\image_3005.jpg
image_3047.jpg,Afritada_Kaldereta,./final_dataset/augmented_images\afritada_kaldereta\image_3047.jpg
image_3034.jpg,Afritada_Kaldereta,./final_dataset/augmented_images\afritada_kaldereta\image_3034.jpg
image_3062.jpg,Afritada_Kaldereta,./final_dataset/augmented_images\afritada_kaldereta\image_3062.jpg
image_3042.jpg,Afritada_Kaldereta,./final_dataset/augmented_images\afritada_kaldereta\image_3042.jpg
image_3054.jpg,Afritada_Kaldereta,./final_dataset/augmented_images\afritada_kaldereta\image_3054.jpg
image_3016.jpg,Afritada_Kaldereta,./final_dataset/augmented_images\afritada_kaldereta\image_3016.jpg
image_3039.jpg,Afritada_Kaldereta,./final_dataset/augmented_images\afritada_kaldereta\image_3039.jpg
image_3056.jpg,Afritada_Kaldereta,./final_dataset/augmented_images\afritada_kaldereta\image_3056.jpg
image_3079.jpg,Afritada_Kaldereta,./final_dataset/augmented_images\afritada_kaldereta\image_3079.jpg
image_3007.jpg,Afritada_Kaldereta,./final_dataset/augmented_images\afritada_kaldereta\image_3007.jpg
image_3050.jpg,Afritada_Kaldereta,./final_dataset/augmented_images\afritada_kaldereta\image_3050.jpg
image_3053.jpg,Afritada_Kaldereta,./final_dataset/augmented_images\afritada_kaldereta\image_3053.jpg
image_3019.jpg,Afritada_Kaldereta,./final_dataset/augmented_images\afritada_kaldereta\image_3019.jpg
image_3066.jpg,Afritada_Kaldereta,./final_dataset/augmented_images\afritada_kaldereta\image_3066.jpg
image_3025.jpg,Afritada_Kaldereta,./final_dataset/augmented_images\afritada_kaldereta\image_3025.jpg
image_3044.jpg,Afritada_Kaldereta,./final_dataset/augmented_images\afritada_kaldereta\image_3044.jpg
image_3013.jpg,Afritada_Kaldereta,./final_dataset/augmented_images\afritada_kaldereta\image_3013.jpg
image_3076.jpg,Afritada_Kaldereta,./final_dataset/augmented_images\afritada_kaldereta\image_3076.jpg
image_3003.jpg,Afritada_Kaldereta,./final_dataset/augmented_images\afritada_kaldereta\image_3003.jpg
image_3017.jpg,Afritada_Kaldereta,./final_dataset/augmented_images\afritada_kaldereta\image_3017.jpg
image_3038.jpg,Afritada_Kaldereta,./final_dataset/augmented_images\afritada_kaldereta\image_3038.jpg
image_3008.jpg,Afritada_Kaldereta,./final_dataset/augmented_images\afritada_kaldereta\image_3008.jpg
image_3065.jpg,Afritada_Kaldereta,./final_dataset/augmented_images\afritada_kaldereta\image_3065.jpg
image_3006.jpg,Afritada_Kaldereta,./final_dataset/augmented_images\afritada_kaldereta\image_3006.jpg
image_3036.jpg,Afritada_Kaldereta,./final_dataset/augmented_images\afritada_kaldereta\image_3036.jpg
image_3072.jpg,Afritada_Kaldereta,./final_dataset/augmented_images\afritada_kaldereta\image_3072.jpg
image_3058.jpg,Afritada_Kaldereta,./final_dataset/augmented_images\afritada_kaldereta\image_3058.jpg
image_3046.jpg,Afritada_Kaldereta,./final_dataset/augmented_images\afritada_kaldereta\image_3046.jpg
image_3078.jpg,Afritada_Kaldereta,./final_dataset/augmented_images\afritada_kaldereta\image_3078.jpg
image_3015.jpg,Afritada_Kaldereta,./final_dataset/augmented_images\afritada_kaldereta\image_3015.jpg
image_3027.jpg,Afritada_Kaldereta,./final_dataset/augmented_images\afritada_kaldereta\image_3027.jpg
image_3041.jpg,Afritada_Kaldereta,./final_dataset/augmented_images\afritada_kaldereta\image_3041.jpg
image_3026.jpg,Afritada_Kaldereta,./final_dataset/augmented_images\afritada_kaldereta\image_3026.jpg
image_3048.jpg,Afritada_Kaldereta,./final_dataset/augmented_images\afritada_kaldereta\image_3048.jpg
image_3024.jpg,Afritada_Kaldereta,./final_dataset/augmented_images\afritada_kaldereta\image_3024.jpg
image_3043.jpg,Afritada_Kaldereta,./final_dataset/augmented_images\afritada_kaldereta\image_3043.jpg
image_3077.jpg,Afritada_Kaldereta,./final_dataset/augmented_images\afritada_kaldereta\image_3077.jpg
image_3057.jpg,Afritada_Kaldereta,./final_dataset/augmented_images\afritada_kaldereta\image_3057.jpg
image_3011.jpg,Afritada_Kaldereta,./final_dataset/augmented_images\afritada_kaldereta\image_3011.jpg
image_3032.jpg,Afritada_Kaldereta,./final_dataset/augmented_images\afritada_kaldereta\image_3032.jpg
image_3075.jpg,Afritada_Kaldereta,./final_dataset/augmented_images\afritada_kaldereta\image_3075.jpg
image_3059.jpg,Afritada_Kaldereta,./final_dataset/augmented_images\afritada_kaldereta\image_3059.jpg
image_3063.jpg,Afritada_Kaldereta,./final_dataset/augmented_images\afritada_kaldereta\image_3063.jpg
image_3069.jpg,Afritada_Kaldereta,./final_dataset/augmented_images\afritada_kaldereta\image_3069.jpg
image_3037.jpg,Afritada_Kaldereta,./final_dataset/augmented_images\afritada_kaldereta\image_3037.jpg
image_3029.jpg,Afritada_Kaldereta,./final_dataset/augmented_images\afritada_kaldereta\image_3029.jpg
image_3001.jpg,Afritada_Kaldereta,./final_dataset/augmented_images\afritada_kaldereta\image_3001.jpg
